Name,Optimal Contribution,Satisfaction Level
Person 1,9171.73176918505,9.533533552354296
Person 2,10746.076211126127,7.307919806291489
Person 3,1790.0024503916452,6.000003769833301
Person 4,11320.656522251675,4.722244315591176
Person 5,11158.951196744434,6.091551165445269
Person 6,11345.155055853264,5.313693299966033
Person 7,11266.615953325048,3.319151800613047
Person 8,10264.038047800872,8.25953890785749
Person 9,9182.60280403382,9.560694457442485
Person 10,10970.570835759308,6.591082071442215
Person 11,10259.91988110566,8.259525103060627
Person 12,1859.5449207018416,6.07622295492591
Person 13,10751.709721652152,7.292926817824635
Person 14,5368.926616836874,8.43528317055404
Person 15,11341.348386025924,5.294976423671908
Person 16,1905.3973418996852,6.181735278115486
Person 17,10983.609593970368,6.618833994935345
Person 18,11162.206482742491,6.107159005772206
Person 19,11267.524791466003,3.317379403044823
Person 20,5497.111320249197,8.54532644464222
Person 21,9095.710828498983,9.51734246919007
Person 22,1954.4076876454974,6.236159537252589
Person 23,11336.18158073409,5.282923779444615
