Name,Task Contribution,Happiness Level 1,Happiness Level 2,Happiness Level 3,Happiness Level 4,Happiness Level 5,Happiness Level 6,Happiness Level 7,Happiness Level 8,Happiness Level 9,Happiness Level 10
Person 1,10,103,412,908,1610,2510,3590,4930,6380,8110,10100
Person 2,15,195,795,1782,3190,5030,7220,9810,12850,16230,20150
Person 3,8,52,198,443,805,1270,1790,2440,3220,4030,4960
Person 4,20,508,1985,4535,8020,12590,18070,24420,32200,40590,50110
Person 5,12,295,1215,2735,4770,7510,10790,14820,19150,24460,30230
Person 6,25,402,1605,3625,6390,9990,14310,19670,25610,32470,40050
Person 7,30,995,3990,9015,16070,25020,36130,48920,64180,80890,100820
Person 8,14,148,605,1340,2410,3760,5420,7360,9610,12130,15170
Person 9,5,97,396,895,1580,2480,3610,4880,6420,8050,10070
Person 10,18,252,1005,2260,3990,6255,9020,12320,16070,20310,25120
Person 11,22,147,601,1358,2390,3765,5380,7315,9615,12100,14900
Person 12,6,52,198,455,798,1245,1810,2460,3180,4055,4995
Person 13,16,202,790,1795,3220,5000,7225,9870,12880,16120,20100
Person 14,9,77,308,670,1205,1880,2720,3690,4790,6120,7490
Person 15,13,405,1590,3595,6420,10070,14380,19520,25680,32550,40190
Person 16,7,49,199,451,812,1275,1780,2470,3210,4035,4990
Person 17,11,255,1001,2265,4020,6245,9025,12190,16190,20290,25040
Person 18,19,299,1210,2705,4805,7500,10740,14680,19280,24410,30100
Person 19,17,997,3985,9030,16080,24880,36300,49100,63980,80910,100160
Person 20,21,77,298,671,1190,1885,2690,3700,4810,6070,7510
Person 21,4,102,405,910,1620,2495,3605,4910,6410,8105,10020
Person 22,3,51,203,452,807,1240,1795,2470,3190,4020,4990
Person 23,23,398,1580,3590,6410,10080,14520,19690,25580,32490,40250
